event_id,index,farm_id,cow_id,ref_event_datetime,work_number,rank,breed,season,country,cattle_mode,event_type,disparition_peinture,chevauchement,acceptation_chevauchement,signes_secondaires,sang
FR4491068405_2019-01-28,87,FR-44217103,FR4491068405,2019-01-28 09:00:00,8405,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068353_2019-01-19,81,FR-44217103,FR4491068353,2019-01-19 13:00:00,8353,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013430_2019-01-12,143,FR-53137122,FR5323013430,2019-01-12 07:00:00,3430,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068406_2019-01-11,88,FR-44217103,FR4491068406,2019-01-11 07:00:00,8406,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068411_2019-01-11,91,FR-44217103,FR4491068411,2019-01-11 07:00:00,8411,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068351_2019-01-06,80,FR-44217103,FR4491068351,2019-01-06 12:00:00,8351,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013429_2019-01-05,142,FR-53137122,FR5323013429,2019-01-05 18:00:00,3429,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR1448741800_2019-01-04,12,FR-14457014,FR1448741800,2019-01-04 06:00:00,1800,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR5323013300_2019-01-02,139,FR-53137122,FR5323013300,2019-01-02 18:00:00,3300,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068415_2018-12-29,92,FR-44217103,FR4491068415,2018-12-29 07:00:00,8415,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068408_2018-12-29,90,FR-44217103,FR4491068408,2018-12-29 00:00:00,8408,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013444_2018-12-26,145,FR-53137122,FR5323013444,2018-12-26 08:00:00,3444,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013088_2018-12-25,130,FR-53137122,FR5323013088,2018-12-25 18:00:00,3088,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR1448741971_2018-12-25,19,FR-14457014,FR1448741971,2018-12-25 06:00:00,1971,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR4491068403_2018-12-22,86,FR-44217103,FR4491068403,2018-12-22 10:00:00,8403,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068316_2018-12-22,74,FR-44217103,FR4491068316,2018-12-22 09:00:00,8316,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068346_2018-12-18,77,FR-44217103,FR4491068346,2018-12-18 09:00:00,8346,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068309_2018-12-17,72,FR-44217103,FR4491068309,2018-12-17 06:00:00,8309,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR1448741929_2018-12-15,16,FR-14457014,FR1448741929,2018-12-15 06:00:00,1929,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR1448741800_2018-12-15,11,FR-14457014,FR1448741800,2018-12-15 06:00:00,1800,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR8749420962_2018-12-14,41,FR-16246083,FR8749420962,2018-12-14 18:00:00,962,vache,34,hiver,FR,allaitant,heat_visual,,,,,
FR8749420952_2018-12-13,40,FR-16246083,FR8749420952,2018-12-13 18:00:00,952,vache,34,hiver,FR,allaitant,heat_visual,,,,,
FR1448741721_2018-12-12,9,FR-14457014,FR1448741721,2018-12-12 19:00:00,1721,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR4491068341_2018-12-12,75,FR-44217103,FR4491068341,2018-12-12 14:00:00,8341,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013504_2018-12-12,150,FR-53137122,FR5323013504,2018-12-12 11:00:00,3504,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068395_2018-12-11,83,FR-44217103,FR4491068395,2018-12-11 09:00:00,8395,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR1448741879_2018-12-11,14,FR-14457014,FR1448741879,2018-12-11 06:00:00,1879,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR4491068376_2018-12-10,82,FR-44217103,FR4491068376,2018-12-10 07:00:00,8376,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068407_2018-12-10,89,FR-44217103,FR4491068407,2018-12-10 06:00:00,8407,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068398_2018-12-09,84,FR-44217103,FR4491068398,2018-12-09 09:00:00,8398,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR4491068351_2018-12-09,79,FR-44217103,FR4491068351,2018-12-09 09:00:00,8351,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR8749420930_2018-12-07,39,FR-16246083,FR8749420930,2018-12-07 06:00:00,930,vache,34,hiver,FR,allaitant,heat_visual,,,,,
FR4491068350_2018-12-06,78,FR-44217103,FR4491068350,2018-12-06 11:00:00,8350,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR2424509262_2018-12-05,38,FR-16246083,FR2424509262,2018-12-05 13:00:00,9262,vache,34,hiver,FR,allaitant,heat_visual,,,,,
FR8749421032_2018-12-05,42,FR-16246083,FR8749421032,2018-12-05 13:00:00,1032,vache,34,hiver,FR,allaitant,heat_visual,,,,,
FR4973400277_2018-12-05,112,FR-49349109,FR4973400277,2018-12-05 05:30:00,277,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR1448741971_2018-12-04,18,FR-14457014,FR1448741971,2018-12-04 19:00:00,1971,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR5323013532_2018-12-04,152,FR-53137122,FR5323013532,2018-12-04 17:00:00,3532,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013256_2018-12-03,136,FR-53137122,FR5323013256,2018-12-03 17:00:00,3256,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013088_2018-12-03,129,FR-53137122,FR5323013088,2018-12-03 17:00:00,3088,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013444_2018-12-03,144,FR-53137122,FR5323013444,2018-12-03 17:00:00,3444,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013452_2018-12-03,146,FR-53137122,FR5323013452,2018-12-03 17:00:00,3452,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013521_2018-12-03,151,FR-53137122,FR5323013521,2018-12-03 07:00:00,3521,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013497_2018-12-02,149,FR-53137122,FR5323013497,2018-12-02 17:00:00,3497,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013124_2018-12-02,132,FR-53137122,FR5323013124,2018-12-02 06:30:00,3124,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR5323013250_2018-12-02,135,FR-53137122,FR5323013250,2018-12-02 06:30:00,3250,vache,79,hiver,FR,allaitant,heat_visual,,,,,
FR1448330456_2018-12-01,4,FR-14435018,FR1448330456,2018-12-01 22:30:00,456,vache,38,hiver,FR,allaitant,heat_visual,,,,,
FR5323013470_2018-11-30,148,FR-53137122,FR5323013470,2018-11-30 17:00:00,3470,vache,79,automne,FR,allaitant,heat_visual,,,,,
FR1448330466_2018-11-30,5,FR-14435018,FR1448330466,2018-11-30 10:00:00,466,vache,38,automne,FR,allaitant,heat_visual,,,,,
FR1448330094_2018-11-29,6,FR-14435018,FR1448330094,2018-11-29 22:30:00,94,vache,38,automne,FR,allaitant,heat_visual,,,,,
FR5323013306_2018-11-28,140,FR-53137122,FR5323013306,2018-11-28 18:00:00,3306,vache,79,automne,FR,allaitant,heat_visual,,,,,
FR4491068401_2018-11-28,85,FR-44217103,FR4491068401,2018-11-28 14:00:00,8401,vache,79,automne,FR,allaitant,heat_visual,,,,,
