event_id,index,farm_id,cow_id,ref_event_datetime,birth_date,breed,InseminationDate,PreviousHeatEventDate,PreviousHeatEventType,PreviousCalvingDate,GestationObsDate,GestationObs,SerialNumber,idAssignments,AssignmentBegin,AssignmentEnd,event_type,season,country,cattle_mode,rank
FR1733538589_2020-01-02,56,FR-17356029,FR1733538589,2020-01-02 12:00:00,2014-06-13T00:00:00,71,2020-01-02T12:00:00,2020-01-01T03:00:00,Confirmation,2019-09-20T12:00:00,2020-01-10T12:00:00,Constat de gestation positif,00P8V,1130,2019-11-14T18:52:00,2020-01-10T11:29:01,artificial_insemination,hiver,FR,allaitant,vache
FR5627075484_2019-12-23,314,FR-56151039,FR5627075484,2019-12-23 12:00:00,2013-09-11T00:00:00,71,2019-12-23T07:00:00,2019-12-22T15:00:00,Confirmation,2016-03-09T12:00:00,2020-01-22T13:00:00,Constat de gestation positif,021XB,1355,2019-11-20T10:17:00,,artificial_insemination,hiver,FR,allaitant,vache
FR5627075619_2019-12-23,358,FR-56151039,FR5627075619,2019-12-23 12:00:00,2017-02-13T00:00:00,71,2019-12-23T07:00:00,2019-12-23T00:30:00,Confirmation,2019-11-04T12:00:00,2020-01-22T13:00:00,Constat de gestation positif,021Y1,1359,2019-11-19T21:46:04,,artificial_insemination,hiver,FR,allaitant,genisse
FR5627075633_2019-12-21,362,FR-56151039,FR5627075633,2019-12-21 12:00:00,2017-05-30T00:00:00,71,2019-12-21T08:00:00,2019-12-20T12:30:00,Confirmation,,2020-01-22T13:00:00,Constat de gestation positif,021XV,1365,2019-11-19T18:34:10,2019-12-31T05:33:49,artificial_insemination,hiver,FR,allaitant,genisse
FR5940603938_2019-12-16,369,FR-59091016,FR5940603938,2019-12-16 12:00:00,2015-04-27T00:00:00,79,2019-12-16T12:00:00,2019-12-15T19:30:00,Confirmation,2019-07-13T12:00:00,2020-01-22T12:00:00,Constat de gestation positif,00UBN,126,2019-09-07T08:23:50,2020-01-27T12:55:29,artificial_insemination,hiver,FR,allaitant,vache
FR5945124715_2019-12-14,371,FR-59091016,FR5945124715,2019-12-14 12:00:00,2018-03-31T00:00:00,79,2019-12-14T12:00:00,2019-12-13T21:30:00,Confirmation,,2020-01-22T12:00:00,Constat de gestation positif,00UBO,145,2019-09-07T06:50:10,2020-01-26T10:02:57,artificial_insemination,hiver,FR,allaitant,genisse
FR5945411140_2019-12-13,380,FR-59326005,FR5945411140,2019-12-13 12:00:00,2018-03-05T00:00:00,25,2019-12-13T12:00:00,2019-12-12T19:30:00,Confirmation,,2020-01-21T12:00:00,Constat de gestation positif,00YXD,1254,2019-01-26T19:50:03,,artificial_insemination,hiver,FR,allaitant,genisse
FR5945124661_2019-12-12,370,FR-59091016,FR5945124661,2019-12-12 12:00:00,2018-01-25T00:00:00,79,2019-12-12T12:00:00,2019-12-11T07:30:00,Confirmation,,2020-01-22T12:00:00,Constat de gestation positif,00UBB,129,2019-09-06T17:27:07,2020-01-26T10:01:37,artificial_insemination,hiver,FR,allaitant,genisse
FR5944628025_2019-12-11,423,FR-59667028,FR5944628025,2019-12-11 12:00:00,2018-03-04T00:00:00,25,2019-12-11T12:00:00,2019-11-21T12:00:00,Prédiction,,2020-01-31T12:00:00,Constat de gestation positif,014OQ,1032,2019-06-15T09:28:05,2020-01-31T17:29:14,artificial_insemination,hiver,FR,allaitant,genisse
FR1733547235_2019-12-10,62,FR-17356029,FR1733547235,2019-12-10 12:00:00,2017-10-25T00:00:00,71,2019-12-10T12:00:00,2019-12-09T15:30:00,Confirmation,,2020-01-10T12:00:00,Constat de gestation positif,00P89,1132,2019-11-14T18:51:00,2020-01-10T11:28:02,artificial_insemination,hiver,FR,allaitant,genisse
