event_id,index,farm_id,cow_id,ref_event_datetime,work_number,season,country,birth_date,breed,cattle_mode,rank,date_IA,terme_j,difficulty2,event_type
FR5018840103_2018-08-11,109,FR-50629038,FR5018840103,2018-08-11 23:18:00,103,ete,FR,2012-05-17T00:00:00,56,laitier,vache,2017-10-31T00:00:00,2018-08-08T00:00:00,1.0,tv_expulsion
FR4415247466_2018-08-02,20,FR-44031015,FR4415247466,2018-08-02 03:16:00,7466,ete,FR,2015-12-15T00:00:00,66,laitier,genisse,2017-08-03T00:00:00,2018-05-11T00:00:00,,tv_expulsion
FR4461734590_2018-08-02,46,FR-44170057,FR4461734590,2018-08-02 02:13:00,4590,ete,FR,2014-07-01T00:00:00,66,laitier,vache,,,,tv_expulsion
FR8521864015_2018-08-02,247,FR-85038268,FR8521864015,2018-08-02 01:03:00,4015,ete,FR,2013-09-08T00:00:00,66,laitier,vache,2017-10-21T00:00:00,2018-07-29T00:00:00,1.0,tv_expulsion
FR8543515757_2018-07-31,260,FR-85150056,FR8543515757,2018-07-31 17:20:00,5757,ete,FR,2013-04-17T00:00:00,66,laitier,vache,2017-10-24T00:00:00,2018-08-01T00:00:00,1.0,tv_expulsion
FR5355716292_2018-07-30,203,FR-53237150,FR5355716292,2018-07-30 09:34:00,6292,ete,FR,2016-07-26T00:00:00,66,laitier,genisse,2017-10-20T00:00:00,2018-07-28T00:00:00,,tv_expulsion
FR5018840247_2018-07-29,111,FR-50629038,FR5018840247,2018-07-29 10:54:00,247,ete,FR,2013-08-01T00:00:00,56,laitier,vache,2017-10-16T00:00:00,2018-07-24T00:00:00,1.0,tv_expulsion
FR8521864242_2018-07-29,254,FR-85038268,FR8521864242,2018-07-29 05:39:00,4242,ete,FR,2016-08-07T00:00:00,66,laitier,genisse,2017-10-15T00:00:00,2018-07-23T00:00:00,1.0,tv_expulsion
FR7652231954_2018-07-28,243,FR-76703135,FR7652231954,2018-07-28 20:37:00,1954,ete,FR,2014-10-30T00:00:00,66,laitier,vache,2017-10-27T00:00:00,2018-08-04T00:00:00,3.0,tv_expulsion
FR8543515894_2018-07-26,272,FR-85150056,FR8543515894,2018-07-26 15:17:00,5894,ete,FR,2015-08-02T00:00:00,66,laitier,vache,2017-10-22T00:00:00,2018-07-30T00:00:00,1.0,tv_expulsion
FR4461734581_2018-07-25,45,FR-44170057,FR4461734581,2018-07-25 18:46:00,4581,ete,FR,2014-03-23T00:00:00,66,laitier,vache,2017-10-18T00:00:00,2018-07-26T00:00:00,,tv_expulsion
FR8543521030_2018-07-25,277,FR-85150060,FR8543521030,2018-07-25 17:05:00,1030,ete,FR,2012-07-11T00:00:00,66,laitier,vache,2017-10-17T00:00:00,2018-07-25T00:00:00,1.0,tv_expulsion
FR4406798920_2018-07-25,12,FR-44017164,FR4406798920,2018-07-25 03:09:00,8920,ete,FR,2013-04-15T00:00:00,66,laitier,vache,2017-10-18T00:00:00,2018-07-26T00:00:00,,tv_expulsion
FR5355715882_2018-07-24,194,FR-53237150,FR5355715882,2018-07-24 17:33:00,5882,ete,FR,2011-12-03T00:00:00,66,laitier,vache,2017-10-21T00:00:00,2018-07-29T00:00:00,,tv_expulsion
FR8521863881_2018-07-24,245,FR-85038268,FR8521863881,2018-07-24 03:45:00,3881,ete,FR,2011-09-25T00:00:00,66,laitier,vache,2017-10-16T00:00:00,2018-07-24T00:00:00,1.0,tv_expulsion
FR8543515895_2018-07-23,273,FR-85150056,FR8543515895,2018-07-23 18:47:00,5895,ete,FR,2015-08-05T00:00:00,66,laitier,vache,2017-10-23T00:00:00,2018-07-31T00:00:00,1.0,tv_expulsion
