event_id,index,farm_id,cow_id,ref_event_datetime,breed,birth_date,tv_serial,ax_serial,ax_days_before_calving,ax_id_assignment,season,country,cattle_mode,rank,event_type
FR3546542023_2018-10-09,384,FR-35207001,FR3546542023,2018-10-09 12:32:49,66,2014-03-30T00:00:00,003IN,00KTE,11,3345,automne,FR,laitier,vache,tv_expulsion
FR0200971586_2018-09-29,209,FR-02440033,FR0200971586,2018-09-29 10:15:00,66,2016-08-14T00:00:00,01O1P,01QZZ,10,1143,automne,FR,laitier,genisse,tv_expulsion
FR0200971430_2018-09-23,204,FR-02440033,FR0200971430,2018-09-23 19:45:00,66,2014-08-18T00:00:00,01O1L,01JW5,695,534,automne,FR,laitier,vache,tv_expulsion
FR5025930003_2018-09-22,546,FR-50409057,FR5025930003,2018-09-22 06:55:39,56,2012-03-20T00:00:00,003UN,00P04,38,874,automne,FR,laitier,vache,tv_expulsion
FR2250402530_2018-09-19,314,FR-22299004,FR2250402530,2018-09-19 21:55:10,66,2016-02-23T00:00:00,003V4,00JW6,9,1527,automne,FR,laitier,genisse,tv_expulsion
FR3546541911_2018-09-19,370,FR-35207001,FR3546541911,2018-09-19 20:07:28,66,2012-05-29T00:00:00,004AL,00MCW,9,3326,automne,FR,laitier,vache,tv_expulsion
FR2250402475_2018-09-17,312,FR-22299004,FR2250402475,2018-09-17 20:40:43,66,2015-07-07T00:00:00,003V7,00RB6,7,1551,automne,FR,laitier,vache,tv_expulsion
FR7652231975_2018-09-11,934,FR-76703135,FR7652231975,2018-09-11 12:56:09,66,2015-04-21T00:00:00,001V0,00M47,55,311,automne,FR,laitier,vache,tv_expulsion
FR3545542119_2018-09-11,357,FR-35207001,FR3545542119,2018-09-11 01:20:56,66,2015-07-24T00:00:00,003IO,20900,12,3332,automne,FR,laitier,vache,tv_expulsion
FR5043055024_2018-09-02,550,FR-50481061,FR5043055024,2018-09-02 21:52:27,39,2012-08-30T00:00:00,0045D,00PLS,7,7,automne,FR,laitier,vache,tv_expulsion
FR8574421693_2018-08-29,1066,FR-85300257,FR8574421693,2018-08-29 06:10:54,66,2013-12-09T00:00:00,001QH,00K4U,8,627,ete,FR,laitier,vache,tv_expulsion
FR0200971503_2018-08-26,206,FR-02440033,FR0200971503,2018-08-26 12:06:00,66,2015-08-13T00:00:00,01O1P,01R0D,371,868,ete,FR,laitier,vache,tv_expulsion
